method,device,runtime_mean_sec,runtime_std_sec,runtime_median_sec,peak_memory_mb
counterfactual,cpu,24.499695499997568,0.07304996134009632,24.49767189999693,0.0
lime,cpu,20.536443100000422,0.05195875531116508,20.50854249999975,0.0
shap,cpu,18.920383500000753,0.04095761730807157,18.910219799996412,0.0
